,job,bias,stat
0,ディージェー,0.18526070534244177,1.0
1,歌手,0.16511103380062675,2.3
2,講師,0.0670335875603989,1.8
3,大物,0.005340432688165642,1.1
4,検事,0.07961086223299851,1.9
5,経理,0.04110455477342434,2.4
6,ガード,0.15380223612141464,0.0
7,警察,0.0012946811466969521,1.3
8,ゴールキーパー,0.21161957128273623,2.3
9,公務員,0.10610795812322138,1.3
10,官僚,-0.0035675931540732897,1.5
11,教授,-0.018525502975047736,1.55555555556
12,校長,-0.017461628473708135,2.5
13,軍人,-0.06410732709943368,0.7
14,権威,-0.041725433436098136,0.55
15,グラフィックデザイナー,0.22877755870625682,1.66666666667
16,騎兵,-0.00458382786782785,1.5
17,記者,0.08833051072157705,1.1
18,ギタリスト,0.15413188132321665,1.9
19,プランナー,0.23107548700465363,1.11111111111
20,男爵,-0.04419079974579487,1.7
21,ナレーター,0.214848599896577,1.4
22,農家,0.051679610622321626,1.3
23,大佐,-0.06475990370392681,1.0
24,大使,0.05398804118071254,1.0
25,帯域,-0.02862030511510394,1.3
26,大司教,0.06830577633967305,2.0
27,大統領,0.11155883634630537,0.7
28,大学院生,0.148013848404692,1.4
29,ソリスト,0.2503815058918797,0.9
30,ドラマー,0.07576462539837348,2.5
31,ラヴィ,0.17528646640447554,1.1
32,レスラー,0.20009924975051518,1.0
33,マエストロ,0.1665295620513758,2.0
34,マネージャー,0.24561350309043917,1.5
35,冒険,-0.03559619242749523,1.5
36,牧師,-0.02745706699226025,1.5
37,大工,-0.13775628680341212,0.7
38,ダンサー,0.21882891166227614,1.0
39,ミッドフィルダー,0.2009649894132126,1.1
40,バイオリニスト,0.26084750858195016,3.2
41,バーテンダー,0.1834152734332788,2.5
42,バレリーナ,0.31420897679826587,2.2
43,発明,-0.046726370972919984,3.5
44,放送,0.10287170845080551,2.3
45,配管,0.027754884163145643,1.8
46,俳優,-0.1039054424918544,1.0
47,弁護士,0.12934291633119743,2.0
48,兵長,-0.04355208936049504,1.7
49,ボディガード,0.18428696993799298,1.9
50,ボクサー,0.107211437146294,2.2
51,アナリスト,0.17154801875345682,0.4
52,秘書,0.06593219970940556,1.6
53,事務次官,0.05962084913749055,2.5
54,司書,0.08844674629340421,2.3
55,ビジネスマン,0.1958372209018988,3.1
56,カメラマン,0.22843362458015215,1.2
57,カウンセリング,0.2797321055008717,0.9
58,上司,-0.010377415552410785,2.1
59,トレーダー,0.17663125252722978,1.1
60,宣教師,0.10225951051816073,1.9
61,扇動,0.029967139601725368,1.7
62,先生,0.0374400660043932,1.9
63,船員,-0.06117242935220979,2.8
64,船長,-0.07631945552908359,1.0
65,デザイナー,0.24243212596285546,1.2
66,成人,0.03869868921878883,0.9
67,セールスマン,0.16093260533368348,1.2
68,オーナー,0.18567160272861805,2.2
69,コレクター,0.21388934628235767,2.0
70,数学,-0.04958038217001892,1.6
71,警察官,0.0621354574359918,1.2
72,スタイリスト,0.2720701373727561,1.0
73,スポーツマン,0.13259740109589946,0.9
74,市民,0.11375295040677269,1.4
75,詩人,-0.008106620631662675,0.3
76,シンガーソングライター,0.257906433604302,1.3
77,父,-0.2733684773432721,2.3
78,薬剤師,0.18799615157589256,0.8
79,漁師,-0.029895443778615416,1.7
80,女優,0.24572239553658282,1.7
81,芸能人,0.21944497252744544,2.2
82,エンターテイナー,0.21369830308908533,1.33333333333
83,アーティスト,0.24662913557402266,2.4
84,シェフ,0.08700022861321477,1.5
85,ウェイター,0.15643865392210077,1.3
86,ウェイトレス,0.3082641590432713,0.0
87,メディック,0.21428515507782042,3.9
88,委員,0.029755767456522086,1.4
89,乳母,0.09825647789348757,1.2
90,銀行,0.05818931543879424,0.7
91,ミュージシャン,0.20167026552320544,1.4
92,医師,0.008634575620658946,2.0
93,労働,0.008959182157739498,1.4
94,働き手,0.07855897456081617,3.0
95,イラストレーター,0.2474349482522864,1.7
96,役員,-0.03749560368608673,1.0
97,作家,0.0725451917982074,1.9
98,長官,-0.051837132764580574,2.11111111111
99,戦士,0.03591020774828779,1.7
100,店主,-0.008423726525423447,0.9
101,メカニック,0.15582850994988506,3.1
102,庭師,-0.04416358809044274,2.2
103,ペストリーシェフ,0.22750505851829828,1.5
104,助教授,0.09531129705154617,1.5
105,ギャング,0.12130676124510775,1.4
106,囚人,-0.0747732200547202,2.0
107,司教,-0.005534615917061281,1.2
108,主婦,0.22289431005787996,0.4
109,主人公,0.10210931098939602,4.0
110,ブローカー,0.14913235346407094,2.6
111,中尉,-0.06911198362434812,1.3
112,教師,0.06318556271800757,1.11111111111
113,知人,-0.0664060435782261,1.88888888889
114,支持,0.052755263883998094,2.0
115,執事,-0.04179361007167781,1.2
116,青少年,0.11415142111989462,0.2
117,掃除,0.14749400944379287,2.1
118,チェリスト,0.23835348719501037,0.9
119,総長,-0.01944751394859834,2.2
120,歯科医,0.21553219203551377,1.5
121,セラピスト,0.33306464448325035,1.3
122,コラムニスト,0.2435181342007211,0.3
123,キャラクター,0.23427880831718917,1.8
124,コンサルタント,0.2210615975948289,2.0
125,コメディアン,0.18135428084405714,1.9
126,コーチ,0.0982695957016475,1.7
127,キュレーター,0.21521326649812877,1.0
128,探偵,0.06733513247131118,2.0
129,特使,0.10731062009580494,1.8
130,判事,0.020467208510161594,2.0
131,ファッションデザイナー,0.25908148310921186,1.3
132,プログラマ,0.18054626286978714,1.4
133,ピアニスト,0.23781487231743048,2.125
134,メイド,0.2652959213508841,2.1
135,使用人,0.09549339860166461,3.4
136,学生,0.06540697441615606,1.9
137,学者,-0.023072933320485767,2.0
138,学長,-0.014095102867168752,1.4
139,画家,-0.026661926756051724,2.4
140,化学,0.0005509075584875234,1.8
141,会計,0.05727404446069251,2.33333333333
142,会計士,0.11795315948800722,2.22222222222
143,後輩,-0.009598039400969594,0.2
