,job,bias,stat
0,멍,-0.023748897438264027,36
1,활동적,-0.10649667987855316,-141
2,적응,-0.2074954295383602,9
3,모험적,-0.20369573047182232,252
4,애정,-0.0009130757256903266,230
5,공격적,-0.1797782538797683,-261
6,경계,-0.09642632811201368,-24
7,냉담,-0.15726100009153776,-97
8,야심,-0.08293402174450293,202
9,불안,-0.06551747510229555,59
10,무관심,-0.1546053201553943,-81
11,감사,-0.13102224212982527,183
12,논쟁,-0.10350450427029889,-53
13,오만,-0.19076537812424954,-75
14,예술적,-0.144900866570284,154
15,적극적,-0.13909475558514628,-178
16,매력적,-0.09177251465736247,127
17,독재적,-0.1868382339112038,-126
18,서툰,-0.11630504165947686,-46
19,쓴,-0.1773201763000225,-1
20,거센,0.020731942470458176,18
21,자랑,-0.04496038985896211,-196
22,대장,-0.19455631124604977,2
23,평온,-0.11583411301227287,17
24,능력,-0.12328155684435416,-57
25,부주의,-0.1480174090582025,-16
26,조심성,-0.18425515204222553,102
27,변경가능,-0.18511448889582072,140
28,쾌활,-0.05944062295450547,-81
29,문명,-0.12084670472994086,46
30,명확,-0.11722952122352037,-123
31,영리,-0.11654520852771233,-6
32,거친,-0.12897068966108804,-142
33,추위,-0.07143230214427598,-19
34,보통,-0.13977649348705556,-11
35,불평,-0.1489826507098213,152
36,복잡,-0.08013411921577207,54
37,자만심,-0.1879946959953389,-41
38,자신감,-0.041882189291995164,-114
39,혼란,-0.11358561227147446,106
40,양심적,-0.1702127222549228,91
41,보수적,-0.22429812293350349,32
42,사려,-0.025762138185063677,81
43,만족,-0.06766905380468469,72
44,재래식,-0.17138971483190657,-30
45,멋,-0.03299948620344084,-101
46,협조적,-0.1807228523549298,88
47,용기,-0.09588149287717274,-178
48,비겁,-0.10891970214189506,9
49,잔인,-0.041139078091203096,-92
50,호기심,-0.18178778285034158,30
51,냉소적,-0.15958246790957964,-58
52,대담,-0.01864415670713848,-194
53,기만,-0.11004900647104376,46
54,방어적,-0.15191188072076667,-5
55,신중,-0.07771716523076755,77
56,부담,-0.15952261277878366,-67
57,확실,-0.03401900520370571,-6
58,의존,-0.05336114557766436,143
59,낙담,-0.1597558453143606,39
60,단호,-0.07728733684550515,-116
61,위엄,-0.005903640115064945,-11
62,무질서,-0.1702659607470689,-93
63,불만족,-0.12208762374918924,2
64,산만,-0.11387629255984066,24
65,의심,-0.1064563829042755,4
66,지배적,-0.18857057810295075,-236
67,꿈,-0.04467354394132883,178
68,느긋,-0.1689219440516967,-30
69,여성적,-0.07658370844430618,103
70,효율적,-0.12417625700937807,40
71,이기적,-0.11718588178960432,-56
72,감정적,-0.14774372974024996,-123
73,활기,0.04408353002963761,-65
74,진취,-0.19426119547648169,-145
75,열광적,-0.21206975328372168,71
76,회피,-0.1486600336013968,72
77,흥분,0.0023130784919156433,167
78,공정,-0.08055139477034023,18
79,공포,-0.10125106393446082,91
80,여성,0.07817981713671318,308
81,변덕,-0.09606501035682724,156
82,바람둥이,-0.14775174206155728,192
83,강제적,-0.1126110292022453,-223
84,선견지명,-0.16905410206049853,-38
85,건망증,-0.1507562959997546,-7
86,형식적,-0.18510028468928263,16
87,솔직,0.033088434278875756,-124
88,친근,-0.1507808607932586,77
89,경박한,-0.08532254300005127,161
90,신경질적,-0.19514051021192746,84
91,후,-0.12431440882388811,34
92,온화,-0.15384869206935892,131
93,음침,-0.09082622388668637,-24
94,탐욕,-0.10764681428356226,-76
