,job,bias,stat
0,DJ,-0.003906034031169625,1.0
1,가수,-0.026464729013646604,2.2
2,가정교사,-0.08562765627178592,2.3
3,가정부,0.03763426667371461,3.2
4,간호사,-0.06748218422434515,3.1
5,간호인,-0.16741583415300298,2.9
6,감독관,-0.04647791034058946,1.1
7,강사,-0.05483685410598538,2.3
8,거물,-0.061318512179387774,1.1
9,건물주,-0.15400663113314228,1.4
10,건축가,-0.1117423326034801,1.2
11,검사,-0.06851301280999245,1.9
12,경리,0.042014859169524854,2.4
13,경비원,-0.1547257893675622,0.0
14,경제학자,-0.1973720861872721,1.3
15,경찰,-0.12698638628074077,1.0
16,고고학자,-0.182307796134352,1.4
17,고문관,-0.23353666123679218,2.3
18,골키퍼,-0.10333572616779718,1.3
19,공무원,-0.15054507753604707,1.8
20,과학자,-0.16991357232756066,1.5
21,관료,-0.1209206993779941,1.3
22,관리인,-0.13721962151841094,0.9
23,교구민,-0.1937450801909002,1.9
24,교섭자,-0.18912989195211272,1.55555555556
25,교수,-0.11876572559746457,1.4
26,교육가,-0.1776353864037954,2.5
27,교장,0.013533265218258705,1.0
28,국회의원,-0.20459959688840712,1.4
29,군인,-0.2235353773568436,0.8
30,권위자,-0.1415926916072141,1.66666666667
31,극작가,-0.12464590747776816,1.5
32,기병,-0.12594755639939725,1.1
33,기술자,-0.21321333889578842,1.2
34,기업가,-0.13139785005575066,1.1
35,기자,-0.08457015819320324,1.9
36,기타리스트,-0.2119005445680806,1.11111111111
37,기획자,-0.10599854837724587,1.7
38,남작,-0.11329355099570515,0.5
39,내레이터,-0.16193508413033464,1.8
40,내야수,-0.19876244695451994,1.3
41,농부,-0.07655225489572537,1.0
42,대령,-0.11809813303563921,1.0
43,대사,-0.09650295930347319,1.3
44,대역,0.02949355222852379,2.0
45,대주교,-0.13791716320736924,0.7
46,대통령,-0.13967874330501817,0.9
47,대학원생,-0.1622253339440234,1.7
48,독주자,-0.1690123690958767,2.5
49,드러머,-0.1621215577141253,1.1
50,라비,-0.10515009798222996,1.0
51,레슬러,-0.11637987835434127,1.0
52,마술사,-0.08599072864645052,1.1
53,마약중독자,-0.1780709835850791,2.0
54,마에스트로,-0.17139883142859813,1.3
55,만화가,-0.1617890077007602,1.5
56,매니저,-0.07220162382247963,1.4
57,명사수,-0.21608095440608488,0.4
58,명예교수,-0.17596576653645224,1.5
59,모험가,-0.21969152867114672,1.5
60,목사,-0.13918044860136236,0.7
61,목수,-0.07807639142468137,1.0
62,무용수,-0.06715611045973469,3.1
63,물리학자,-0.20511990220129928,1.1
64,미드필더,-0.15497378651634164,0.9
65,미용사,0.0013839928123462464,3.2
66,바이올리니스트,-0.14534609529555387,2.5
67,바텐더,-0.06867017529620201,1.7
68,박물학자,-0.20762958656755748,2.2
69,발레리나,0.022998609177090623,3.5
70,발명가,-0.22360421438199785,1.3
71,방송인,-0.05788527070206184,1.8
72,배관공,-0.13004090782808175,1.0
73,배우,-0.009772138188510304,0.4
74,법무차관,-0.20872607351691919,1.5
75,법학자,-0.24805401180643383,2.0
76,변호사,-0.1574322299527009,1.3
77,병리학자,-0.20805466176120535,1.7
78,병장,-0.17581039768122864,1.1
79,보디가드,-0.10131182111732895,0.9
80,보안관,-0.10021802071679797,1.1
81,보좌관,-0.18295606199735226,2.2
82,복서,-0.09840774883608105,0.9
83,부교수,-0.2342307423003953,1.6
84,부동산업자,-0.13551253214515624,2.6
85,부시장,-0.10783928645209695,0.4
86,분석가,-0.21877324423765598,1.6
87,비서,0.09789616813683821,3.22222222222
88,사무원,-0.04185178638625686,2.5
89,사무차관,-0.19874552419144598,2.3
90,사서,-0.1167359678267661,3.1
91,사업가,-0.12560905443709425,1.5
92,사제,-0.057511370583596566,1.2
93,사진사,-0.0929255953184207,2.1
94,사회학자,-0.18252609119143304,2.2
95,산지기,-0.1958252558645901,0.9
96,상담가,-0.15101850363123837,2.1
97,상사,-0.11152381137030343,1.3
98,상인,-0.09765647422830259,1.2
99,생물학자,-0.15977016008305434,1.9
100,선교사,-0.1174628112257694,1.7
101,선동가,-0.21338920150360163,1.9
102,선생님,-0.07822190621706793,2.8
103,선원,-0.018871548531391724,1.0
104,선장,-0.1418688361810898,1.2
105,설계사,-0.21613142017954146,2.3
106,설교가,-0.18159694609960275,0.9
107,성인,-0.059119178338470135,1.3
108,성직자,-0.1562488943596696,1.1
109,세일즈맨,-0.13832992128620258,0.2
110,소방관,-0.1340199495875336,1.1
111,소설가,-0.13073440768474853,2.0
112,소유주,-0.16167546143804667,1.4
113,수녀,0.22374240473177665,3.7
114,수도승,-0.15178966170613517,0.3
115,수사관,-0.1151153347259144,1.3
116,수영선수,-0.1268195423237608,2.0
117,수집가,-0.17675238905966273,1.6
118,수학자,-0.10673369380804809,1.2
119,순경,-0.036453134117107044,1.0
120,스타일리스트,-0.14080429224690683,3.1
121,스포츠기자,-0.16842866672796442,0.9
122,스포츠맨,-0.16151959162089224,0.1
123,시민,-0.1260418075950822,2.0
124,시위자,-0.17159281212202604,2.2
125,시의원,-0.10268815846601975,0.3
126,시인,-0.08458668688199866,2.1
127,신경학자,-0.1974889899337977,1.4
128,심리학자,-0.15051532652332744,2.0
129,아버지,-0.3142422669225995,0.0
130,안무가,-0.031083224857177516,2.6
131,암살자,-0.1670160761764139,1.0
132,야구선수,-0.18404148997222247,0.8
133,약사,-0.08966326640103928,1.7
134,어부,-0.11466201761614458,0.1
135,여배우,0.036143642071584825,4.0
136,역사학자,-0.21298364501024492,1.5
137,연구자,-0.14641799386488374,1.9
138,연기자,-0.11888268052231266,2.2
139,연예인,-0.09924660530749518,2.0
140,영화감독,-0.17122984643335593,1.33333333333
141,예능인,-0.11234529413271632,2.4
142,예술가,-0.18157090659981678,2.2
143,외과의,-0.1012108494592352,1.1
144,외교관,-0.13751344860376324,1.5
145,요리사,-0.11105291881908785,1.5
146,용접공,-0.17417235332748415,0.8
147,우주비행사,-0.14795551745877966,1.0
148,운동가,-0.10240626292910493,1.8
149,운동선수,-0.09582411532111745,1.3
150,웨이터,-0.1027621362858846,0.0
151,웨이트리스,-0.09458865560263052,3.9
152,위생병,-0.19185139527252493,1.4
153,위원,-0.031854576991512396,1.2
154,유모,0.15510264318573252,3.3
155,은행가,-0.22626211775570537,0.7
156,은행원,0.015130310450448325,1.4
157,음악가,-0.14958470545148672,2.0
158,의사,-0.029680385840402224,1.3
159,이발사,-0.1032083261859893,0.5
160,인류학자,-0.16825854095924786,1.6
161,인명구조원,-0.2087808626207539,1.4
162,인부,-0.058113707648206336,0.9
163,일꾼,-0.12601384466019594,1.7
164,일러스트레이터,-0.19008130238530851,1.8
165,임원,-0.13420671410908902,1.2
166,입법자,-0.20742272894592673,1.3
167,자본가,-0.21530959474633282,1.3
168,자선가,-0.12470245202207897,1.55555555556
169,작가,-0.0007874352660994788,2.0
170,작곡가,-0.18066268332386626,1.4
171,작사가,-0.18823001687426366,2.11111111111
172,장관,-0.1000969047956195,1.0
173,장교,-0.14947957383792065,1.0
174,전기기사,-0.17104915394206266,1.0
175,전도사,-0.08760677067746792,1.4
176,전략가,-0.18921500126690516,1.7
177,전사,-0.18254291939890166,0.9
178,점주,0.014552433009381804,1.5
179,정비공,-0.17598470476612293,0.8
180,정원사,-0.12960951941507926,2.2
181,정치인,-0.16173015360881893,1.5
182,제빵사,-0.1255028171515984,2.1
183,조각가,-0.13775559297338646,1.5
184,조교수,-0.14370087761973616,1.4
185,조폭,-0.04749287875671415,0.9
186,죄수,-0.06251358377653737,1.2
187,주교,-0.0180650031501135,0.4
188,주부,0.05172476462307607,4.0
189,주인공,-0.16988723276796103,1.9
190,중개인,-0.12184097295647622,1.3
191,중위,-0.11752175320229385,1.1
192,중재인,-0.13547962362095167,2.2
193,지도교사,-0.19836393029288968,1.88888888889
194,지인,-0.06713499199605977,2.0
195,지지자,-0.14922029769936662,2.1
196,지질학자,-0.2366077646878495,1.6
197,지휘관,-0.2969881744575389,1.0
198,지휘자,-0.17753436863949612,1.2
199,집사,-0.06586273253006913,0.5
200,창녀,0.13331968094750302,3.2
201,천문학자,-0.15910446875064288,1.3
202,철학자,-0.12663952449371885,1.2
203,청소년,-0.1416846279427193,2.1
204,청소부,-0.09368079341964664,0.9
205,첼리스트,-0.09779927438749114,2.2
206,총장,-0.10157795915619472,1.2
207,촬영기사,-0.16091926783833754,1.5
208,측량사,-0.21894004566119496,1.5
209,치료사,-0.08771865479437557,2.6
210,카메라맨,-0.09111729193938656,0.3
211,칼럼니스트,-0.19410027163739096,1.8
212,캐릭터,-0.16901899336822446,2.0
213,컨설턴트,-0.1359470937678795,1.9
214,코미디언,-0.15374598062476164,1.7
215,코치,-0.05937542504161364,1.0
216,큐레이터,-0.10053997217486699,2.0
217,탐정,-0.015016299273883593,1.3
218,택시기사,-0.10413331326782727,1.2
219,특사,0.015037534657873941,1.6
220,특파원,-0.1287424373290702,2.0
221,판사,-0.023428676681858107,1.3
222,편집자,-0.1272203068914548,1.4
223,평론가,-0.15561059767356467,1.4
224,프로그래머,-0.18033190697327028,1.0
225,피고용인,-0.22005055731544165,2.0
226,피아니스트,-0.12264550731771351,2.1
227,하녀,0.17418208411487557,3.4
228,하인,-0.12934366994725677,1.9
229,학생,0.00255872541430735,2.0
230,학자,-0.14909298495455614,1.4
231,학장,-0.013560350939828325,1.6
232,해설자,-0.1242198260615135,1.6
233,행정인,-0.18768649683322436,1.8
234,화가,-0.0548137215500244,1.8
235,화학자,-0.19317016354994987,1.8
236,회계,-0.13993540621325762,2.22222222222
237,회계사,-0.1182116595109135,1.6
238,회사원,-0.15953915438262922,0.2
239,후배,-0.062307724686555765,1.8
240,희극인,-0.14251783531618178,1.7
